Symbol,Name,Sector
MMM,3M Company,Industrials
AOS,A. O. Smith Corporation,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie Inc.,Health Care
ACN,Accenture plc,Information Technology
ADBE,Adobe Inc.,Information Technology
ADM,Archer-Daniels-Midland Company,Consumer Staples
ADP,Automatic Data Processing Inc.,Information Technology
AES,AES Corporation,Utilities
AFL,Aflac Incorporated,Financials
A,Agilent Technologies Inc.,Health Care
APD,Air Products and Chemicals Inc.,Materials
ABNB,Airbnb Inc.,Consumer Discretionary
AKAM,Akamai Technologies Inc.,Information Technology
ALK,Alaska Air Group Inc.,Industrials
ALB,Albemarle Corporation,Materials
ARE,Alexandria Real Estate Equities Inc.,Real Estate
ALGN,Align Technology Inc.,Health Care
ALLE,Allegion plc,Industrials
LNT,Alliant Energy Corporation,Utilities
ALL,Allstate Corporation,Financials
GOOGL,Alphabet Inc. Class A,Communication Services
GOOG,Alphabet Inc. Class C,Communication Services
MO,Altria Group Inc.,Consumer Staples
AMZN,Amazon.com Inc.,Consumer Discretionary
AMCR,Amcor plc,Materials
AEE,Ameren Corporation,Utilities
AAL,American Airlines Group Inc.,Industrials
AEP,American Electric Power Company Inc.,Utilities
AXP,American Express Company,Financials
AIG,American International Group Inc.,Financials
AMT,American Tower Corporation,Real Estate
AWK,American Water Works Company Inc.,Utilities
AMP,Ameriprise Financial Inc.,Financials
AME,AMETEK Inc.,Industrials
AMGN,Amgen Inc.,Health Care
APH,Amphenol Corporation,Information Technology
ADI,Analog Devices Inc.,Information Technology
ANSS,ANSYS Inc.,Information Technology
AON,Aon plc,Financials
APA,APA Corporation,Energy
APO,Apollo Global Management Inc.,Financials
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials Inc.,Information Technology
APTV,Aptiv PLC,Consumer Discretionary
ACGL,Arch Capital Group Ltd.,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant Inc.,Financials
T,AT&T Inc.,Communication Services
ATO,Atmos Energy Corporation,Utilities
ADSK,Autodesk Inc.,Information Technology
AZO,AutoZone Inc.,Consumer Discretionary
AVB,AvalonBay Communities Inc.,Real Estate
AVY,Avery Dennison Corporation,Materials
AXON,Axon Enterprise Inc.,Industrials
BKR,Baker Hughes Company,Energy
BALL,Ball Corporation,Materials
BAC,Bank of America Corporation,Financials
BK,Bank of New York Mellon Corporation,Financials
BBWI,Bath & Body Works Inc.,Consumer Discretionary
BAX,Baxter International Inc.,Health Care
BDX,Becton Dickinson and Company,Health Care
BRK-B,Berkshire Hathaway Inc. Class B,Financials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BIO,Bio-Rad Laboratories Inc.,Health Care
TECH,Bio-Techne Corporation,Health Care
BIIB,Biogen Inc.,Health Care
BLK,BlackRock Inc.,Financials
BX,Blackstone Inc.,Financials
BK,BNY Mellon,Financials
BA,Boeing Company,Industrials
BKNG,Booking Holdings Inc.,Consumer Discretionary
BWA,BorgWarner Inc.,Consumer Discretionary
BSX,Boston Scientific Corporation,Health Care
BMY,Bristol-Myers Squibb Company,Health Care
AVGO,Broadcom Inc.,Information Technology
BR,Broadridge Financial Solutions Inc.,Information Technology
BRO,Brown & Brown Inc.,Financials
BF-B,Brown-Forman Corporation Class B,Consumer Staples
BLDR,Builders FirstSource Inc.,Industrials
BG,Bunge Global SA,Consumer Staples
CDNS,Cadence Design Systems Inc.,Information Technology
CZR,Caesars Entertainment Inc.,Consumer Discretionary
CPT,Camden Property Trust,Real Estate
CPB,Campbell Soup Company,Consumer Staples
COF,Capital One Financial Corporation,Financials
CAH,Cardinal Health Inc.,Health Care
KMX,CarMax Inc.,Consumer Discretionary
CCL,Carnival Corporation,Consumer Discretionary
CARR,Carrier Global Corporation,Industrials
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets Inc.,Financials
CBRE,CBRE Group Inc.,Real Estate
CDW,CDW Corporation,Information Technology
CE,Celanese Corporation,Materials
COR,Cencora Inc.,Health Care
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy Inc.,Utilities
CF,CF Industries Holdings Inc.,Materials
CRL,Charles River Laboratories International Inc.,Health Care
SCHW,Charles Schwab Corporation,Financials
CHTR,Charter Communications Inc.,Communication Services
CVX,Chevron Corporation,Energy
CMG,Chipotle Mexican Grill Inc.,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight Co. Inc.,Consumer Staples
CI,Cigna Group,Health Care
CINF,Cincinnati Financial Corporation,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco Systems Inc.,Information Technology
C,Citigroup Inc.,Financials
CFG,Citizens Financial Group Inc.,Financials
CLX,Clorox Company,Consumer Staples
CME,CME Group Inc.,Financials
CMS,CMS Energy Corporation,Utilities
